en,ar,source,evidence
"Governance & Roles","الحوكمة والأدوار",attested,"GOV-1"
"Policies & Exception Management","السياسات وإدارة الاستثناءات",attested,"GOV-2"
"Data Classification & Sovereignty","تصنيف البيانات وسيادتها",attested,"GOV-3"
"Kuwaitization & Vetting for Cyber Roles","التكويت والمسح الأمني للأدوار السيبرانية",attested,"GOV-4"
"Periodic Self-Assessment & Continuous Improvement","التقييم الذاتي الدوري والتحسين المستمر",attested,"GOV-5"
"Service Provider & Outsourcing Governance","حوكمة مزودي الخدمة والإسناد الخارجي",attested,"GOV-6"
"Asset & Service Inventory","حصر الأصول والخدمات",attested,"ID-1"
"Software & Provider Inventory","حصر البرمجيات ومزودي الخدمة",attested,"ID-2"
"Data & Account Inventory","حصر البيانات والحسابات",attested,"ID-3"
"Secure Configuration, Hardening & Network Segmentation","التهيئة الآمنة والتحصين وتجزئة الشبكة",attested,"PR-1"
"Network Segmentation","تجزئة الشبكة",attested,"PR-1.1"
"Vulnerability Management & Patching","إدارة الثغرات والتحديثات الأمنية",attested,"PR-1.2"
"Identity, Authentication & Password Hygiene","الهوية والمصادقة وسلامة كلمات المرور",attested,"PR-2"
"Corporate Email Only & Personal Email Ban","قصر المراسلات على البريد المؤسسي ومنع البريد الشخصي",attested,"PR-2.1"
"Password Manager & Credential Hygiene","مدير كلمات المرور وسلامة بيانات الاعتماد",attested,"PR-2.2"
"Awareness & Human Factors","التوعية والعوامل البشرية",attested,"PR-3"
"Official Social Media & Digital Presence","الحسابات الرسمية والحضور الرقمي",attested,"PR-3.1"
"Malware, Email & Web Protection","الحماية من البرمجيات الخبيثة وحماية البريد والويب",attested,"PR-4"
"Approved Communication & Videoconferencing Platforms","منصات التواصل والاجتماعات المرئية المعتمدة",attested,"PR-4.1"
"Portable Media Device Control","التحكم في وسائط التخزين الخارجية",attested,"PR-4.2"
"Data Protection, Backup & Lifecycle","حماية البيانات والنسخ الاحتياطي ودورة حياتها",attested,"PR-5"
"Physical Protection of Critical IT Assets","الحماية المادية للأصول التقنية الحرجة",attested,"PR-6"
"Audit Logging & Monitoring","تسجيل الأحداث والمراقبة",attested,"DE-1"
"Time Synchronization","مزامنة الوقت",attested,"DE-2"
"Incident Reporting to NCSC & Leadership","الإبلاغ عن الحوادث للمركز وللإدارة العليا",attested,"RS-1"
"Basic Incident Handling & Coordination","التعامل الأساسي مع الحوادث والتنسيق بشأنها",attested,"RS-2"
"Recovery Planning","التخطيط للتعافي",attested,"RC-1"
"Testing & Continuous Improvement","الاختبار والتحسين المستمر",attested,"RC-2"
"Regulatory Authorization","الترخيص التنظيمي",attested,"CLD-1"
"Provider Due Diligence","العناية الواجبة بمزود الخدمة",attested,"CLD-2"
"Right to Audit (Third-Party Assurance)","حق التدقيق (تأكيدات الأطراف الخارجية)",attested,"CLD-3"
"Incident Notification Clause","شرط الإخطار بالحوادث",attested,"CLD-4"
"Data Ownership & Exit","ملكية البيانات وإنهاء الخدمة",attested,"CLD-5"
"Service Level Agreements (SLAs)","اتفاقيات مستوى الخدمة (SLA)",attested,"CLD-6"
"Shared Responsibility Matrix","مصفوفة المسؤولية المشتركة",attested,"CLD-7"
"Cloud Asset Inventory","حصر الأصول السحابية",attested,"CLD-8"
"MFA for Cloud Consoles","المصادقة متعددة العوامل للوحات التحكم السحابية",attested,"CLD-9"
"Service Account Hygiene","سلامة حسابات الخدمة",attested,"CLD-10"
"Encryption by Default","التشفير الافتراضي",attested,"CLD-11"
"Data Residency (Customer Content)","توطين البيانات (محتوى العميل)",attested,"CLD-12"
"Operational Metadata Exemption","استثناء البيانات الوصفية التشغيلية",attested,"CLD-13"
"Public Access Prevention","منع الوصول العام",attested,"CLD-14"
"Cloud Audit Logging","تسجيل الأحداث السحابية",attested,"CLD-15"
"Secure Connectivity","الاتصال الآمن",attested,"CLD-16"
"critical","الحرجة",derived,"1.0"
"email","البريد",derived,"1.0"
"mfa","المصادقة متعددة العوامل",derived,"1.0"
"incident response","للاستجابة الحوادث",derived,"1.0"
"responsibilities","والمسؤوليات",derived,"1.0"
"training","التدريب",derived,"1.0"
"media","وسائط",derived,"1.0"
"exception","استثناء",derived,"1.0"
"content","محتوى",derived,"1.0"
"logging","تسجيل",derived,"1.0"
"activity","النشاط",derived,"1.0"
"policy exists","سياسة مكتوبة",derived,"1.0"
"framework","الإطار",derived,"1.0"
"training covers","يغطي التدريب",derived,"1.0"
"audit logging","تسجيل التدقيق",derived,"1.0"
"lessons learned","المستفادة",derived,"1.0"
"plan","الخطة",derived,"1.0"
"roles and responsibilities","الأدوار والمسؤوليات",derived,"1.0"
"kuwait","الكويت",derived,"1.0"
"data classification framework","الإطار الوطني لتصنيف",derived,"1.0"
"least monthly","شهريا",derived,"1.0"
"after major changes","التغييرات الجوهرية",derived,"1.0"
