key,id,baseline,domain,subdomain,area,text
"CRB:4.1.1.1","4.1.1.1","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Board of Directors","The Board of Directors (hereinafter referred as, the Board) of Regulated Entities shall be the approving authority for the cybersecurity strategy, and shall provide authorization for the cyber resilience policy."
"CRB:4.1.1.2","4.1.1.2","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Board of Directors","The Board may delegate certain responsibilities to relevant committees or independent functions, however, the Board shall retain ultimate accountability for the Entity’s overall cyber resilience and shall be reviewed at least annually as part of its formal meetings."
"CRB:4.1.1.3","4.1.1.3","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Board of Directors","The Board shall be accountable, including approving cyber risk appetite and tolerance levels, and ensuring strategic oversight of evolving cybersecurity trends and threats."
"CRB:4.1.1.4","4.1.1.4","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Board of Directors","The Board shall ensure the allocation of adequate cybersecurity budget and resources."
"CRB:4.1.1.5","4.1.1.5","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Board of Directors","The Board shall receive regular updates from the Cybersecurity Steering Committee on the overall status of the cybersecurity program, as well as additional updates as needed on emerging threats or significant changes in the risk landscape. Additionally, the Board shall be informed and kept updated on any legal or regulatory implications of cyber risks."
"CRB:4.1.2.1","4.1.2.1","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cybersecurity Steering Committee","The Cybersecurity Steering Committee established with the participation of: a) the head of the Information Security function; b) executives and Senior Managers from all relevant departments/ functions (i.e.,CxOs, relevant business functions, and compliance);"
"CRB:4.1.2.2","4.1.2.2","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cybersecurity Steering Committee","The Cybersecurity Steering Committee shall be chaired by a designated individual with relevant expertise and sufficient cybersecurity knowledge."
"CRB:4.1.2.3","4.1.2.3","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cybersecurity Steering Committee","The committee shall develop a charter that is approved by the Board. The charter shall include, at a minimum: a) the committee’s objective; b) the committee members; and c) the frequency and quorum of meetings, with meetings held at least four (4) times a year."
"CRB:4.1.2.4","4.1.2.4","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cybersecurity Steering Committee","The Board may delegate specific cybersecurity-related responsibilities to this Cybersecurity Steering Committee, which shall be established and mandated by the Board. These responsibilities shall be limited to advisory, oversight, and some operational coordination functions. This committee shall not have the authority to approve strategic decisions, such as the cybersecurity strategy or risk appetite."
"CRB:4.1.2.5","4.1.2.5","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cybersecurity Steering Committee","The Cybersecurity Steering Committee shall: a) review and endorse the cybersecurity strategy and policy; b) recommend the Entity’s cyber risk appetite and oversee the alignment of the cybersecurity program, strategy, and policy with the overall business objectives; c) review alignment of the cyber risk tolerance levels with the approved cyber risk appetite; d) monitor the effectiveness of the cybersecurity program, including Key Risk Indicators (KRIs), Key Performance Indicators (KPIs), and resources allocation; e) oversee cyber incident response readiness, post-incident reviews, and the effectiveness of the awareness program; and f) stay updated on emerging cyber threats, regulatory changes, and ensure compliance."
"CRB:4.1.3.1","4.1.3.1","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Executive/ Senior Management","Executive/ Senior Management shall be the approving authority of cyber resilience policy and cybersecurity initiatives supporting the strategy approved by the Board."
"CRB:4.1.3.2","4.1.3.2","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Executive/ Senior Management","Executive/ Senior Management, including CEO and other C-level executives, shall support the effective execution of cybersecurity strategy."
"CRB:4.1.3.3","4.1.3.3","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Executive/ Senior Management","Executive/ Senior Management shall be responsible for implementing risk management strategies, ensuring active alignment with the approved cyber risk appetite and tolerance levels, and continuously adapting the Entity’s cybersecurity posture to evolving trends and threats."
"CRB:4.1.3.4","4.1.3.4","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Executive/ Senior Management","Executive/ Senior Management shall allocate proper cybersecurity budget, define, and assign roles and responsibilities with relevant expertise and in alignment with CORF requirements, and continually promote a cybersecurity culture throughout the Regulated Entity."
