id,function,title,title_ar,requirement,requirement_ar,purpose_is_official,csf,cis,iso,phase,effort
"GOV-1","GOV","Governance & Roles","الحوكمة والأدوار","The entity MUST designate an employee at manager level or above with overall responsibility for cybersecurity. Define and document roles and responsibilities for information security, IT operations, risk management, data classification, and incident response. Review and update this structure at least annually or when major organizational changes occur.","على الجهة أن تعين موظفا بدرجة مدير فما فوق يتولى المسؤولية الشاملة عن الأمن السيبراني، وأن تحدد وتوثق الأدوار والمسؤوليات الخاصة بأمن المعلومات وعمليات تقنية المعلومات وإدارة المخاطر وتصنيف البيانات والاستجابة للحوادث، ثم تراجع هذا الهيكل وتحدثه سنويا على الأقل أو عند وقوع تغييرات تنظيمية جوهرية.","yes","GV.RR-01 GV.RR-02","17.1","A.5.2 A.5.4","1","low"
"GOV-2","GOV","Policies & Exception Management","السياسات وإدارة الاستثناءات","Maintain core written policies that, at minimum, cover: acceptable use, Secure Configuration, data classification, access control, backup & recovery, incident response, and third-party / service provider security. Policies SHOULD be approved by management and reviewed at least every two years. Any deviations MUST follow a simple exception process with documented risk acceptance and an expiry date.","تحفظ الجهة سياسات مكتوبة أساسية تغطي كحد أدنى الاستخدام المقبول والتهيئة الآمنة وتصنيف البيانات والتحكم في الوصول والنسخ الاحتياطي والاستعادة والاستجابة للحوادث وأمن الأطراف الثالثة ومزودي الخدمة، وينبغي أن تعتمد هذه السياسات من الإدارة وأن تراجع كل سنتين على الأقل، أما أي خروج عنها فيجب أن يمر بآلية استثناء مبسطة تتضمن قبولا موثقا للمخاطر وتاريخ انتهاء.","yes","GV.PO-01 GV.PO-02","4.1 14.1","A.5.1 A.5.37","1","medium"
"GOV-3","GOV","Data Classification & Sovereignty","تصنيف البيانات وسيادتها","Implement a data classification program aligned with the National Data Classification Framework, using at least Sensitive, Restricted, and Public categories, with clear criteria and examples. Issue a Data Classification Policy/Document approved by senior management and submitted to NCSC for approval, in accordance with Decision No. 1 of 2025. Tag or label data (and related systems/records) with its classification and ensure protection measures increase with sensitivity (for example: stronger access controls and encryption for Sensitive data). Storing or processing Sensitive data outside Kuwait MUST follow the national approval process and receive explicit NCSC approval before use (per applicable regulations).","تطبق الجهة برنامجا لتصنيف البيانات موائما للإطار الوطني لتصنيف البيانات يستخدم فئات حساس ومقيد وعام على الأقل بمعايير وأمثلة واضحة، وتصدر سياسة أو وثيقة لتصنيف البيانات معتمدة من الإدارة العليا ومرفوعة إلى المركز لاعتمادها وفقا للقرار رقم 1 لسنة 2025، ثم توسم البيانات والأنظمة والسجلات المرتبطة بها بتصنيفها وتضمن تصاعد تدابير الحماية مع درجة الحساسية، ومن ذلك مثلا ضوابط وصول وتشفير أقوى للبيانات الحساسة، أما حفظ البيانات الحساسة أو معالجتها خارج الكويت فيجب أن يتبع آلية الاعتماد الوطنية وأن يحصل على موافقة صريحة من المركز قبل الاستخدام وفق اللوائح المعمول بها.","yes","ID.AM-07 GV.PO-01","3.1 3.2 3.7","A.5.12 A.5.13 A.5.34","1","high"
"GOV-4","GOV","Kuwaitization & Vetting for Cyber Roles","التكويت والمسح الأمني للأدوار السيبرانية","For key cybersecurity roles (e.g., SOC analysts, administrators, incident responders), prioritize qualified Kuwaiti nationals where feasible and consistent with national HR frameworks and local laws and regulations. For staff in such sensitive roles, perform basic pre-employment screening (e.g., identity verification, employment history, conflict-of-interest checks) in line with applicable laws and HR policies. Maintain a simple list of designated ""sensitive cyber roles"" and ensure screening is documented.","في الأدوار السيبرانية الرئيسية، ومنها مثلا محللو مركز العمليات الأمنية ومسؤولو الأنظمة والمستجيبون للحوادث، تعطى الأولوية للكوادر الكويتية المؤهلة متى كان ذلك ممكنا وبما يتسق مع أطر الموارد البشرية الوطنية والقوانين واللوائح المحلية، ويجرى للعاملين في هذه الأدوار الحساسة مسح أمني أساسي قبل التعيين يشمل مثلا التحقق من الهوية والتاريخ الوظيفي وتعارض المصالح بما يتفق مع القوانين وسياسات الموارد البشرية السارية، كما تحفظ قائمة مبسطة بالأدوار السيبرانية الحساسة المحددة مع توثيق عمليات المسح الأمني.","yes","GV.RR-04 PR.AA-01","14.1","A.6.1 A.6.2 A.6.6","2","low"
"GOV-5","GOV","Periodic Self-Assessment & Continuous Improvement","التقييم الذاتي الدوري والتحسين المستمر","At least once per year, complete a self-assessment against this baseline using an NCSC-issued or NCSC-approved checklist. Document the results, key gaps, actions, and target dates. Retain the record for at least three years and make it available to NCSC upon request. Use major incidents or audits to update priorities.","تستكمل الجهة مرة واحدة سنويا على الأقل تقييما ذاتيا مقابل هذه الضوابط باستخدام قائمة تحقق صادرة عن المركز أو معتمدة منه، وتوثق النتائج والفجوات الرئيسية والإجراءات والتواريخ المستهدفة، ثم تحفظ السجل ثلاث سنوات على الأقل وتتيحه للمركز عند الطلب، وتستفيد من الحوادث الكبرى وعمليات التدقيق في تحديث الأولويات.","yes","GV.OV-01 GV.OV-03 ID.IM-02","17.4","A.5.35 A.5.36","1","medium"
"GOV-6","GOV","Service Provider & Outsourcing Governance","حوكمة مزودي الخدمة والإسناد الخارجي","Establish and maintain an inventory of service providers (including cloud/managed services), including classification and an entity contact for each provider; review at least annually or upon significant change.
• For service providers handling Sensitive data or supporting critical services, document the service scope and shared responsibilities for protecting the service and data.
• Ensure incident response contact information includes relevant service providers, and define incident reporting timeframes and mechanisms for provider-related incidents.
• For offboarding/termination, ensure required actions are performed to remove access and handle data appropriately, retaining evidence where applicable.","تنشئ الجهة حصرا لمزودي الخدمة يشمل الخدمات السحابية والمدارة وتحفظه، ويتضمن تصنيفا وجهة اتصال داخل الجهة لكل مزود، ويراجع سنويا على الأقل أو عند أي تغيير جوهري.
• وبالنسبة لمزودي الخدمة الذين يتعاملون مع بيانات حساسة أو يدعمون خدمات حرجة، يوثق نطاق الخدمة والمسؤوليات المشتركة عن حماية الخدمة والبيانات.
• وتضمن الجهة أن تشمل بيانات الاتصال الخاصة بالاستجابة للحوادث مزودي الخدمة المعنيين، وأن تحدد مهل الإبلاغ عن الحوادث المتعلقة بالمزودين وآلياته.
• وعند إنهاء التعاقد، تتخذ الإجراءات اللازمة لإزالة الوصول والتعامل مع البيانات على النحو المناسب مع حفظ ما يثبت ذلك حيثما أمكن.","yes","GV.SC-04 GV.SC-07 GV.SC-10","15.1 15.2 15.4","A.5.19 A.5.20 A.5.21 A.5.22","2","medium"
"ID-1","ID","Asset & Service Inventory","حصر الأصول والخدمات","Maintain a central electronic inventory of hardware assets (servers, workstations, laptops, network equipment, IoT/OT devices, etc.) and key on-premises services. Record at least: owner, location, purpose, criticality, and lifecycle state (in use, spare, retired). For physical assets, use unique, machine-readable labels (e.g., barcode/QR-style) to support scanning and tracking. At least weekly, review network discovery or similar tools to identify unauthorized devices and either remove, block, or formally approve them.","تحفظ الجهة حصرا إلكترونيا مركزيا لأصول العتاد، ومنها الخوادم ومحطات العمل والحواسيب المحمولة ومعدات الشبكة وأجهزة إنترنت الأشياء والتقنيات التشغيلية وغيرها، وكذلك الخدمات الرئيسية داخل المقر، ويسجل فيه كحد أدنى المالك والموقع والغرض ودرجة الحرجية وحالة دورة الحياة من حيث كونه قيد الاستخدام أو احتياطيا أو مسحوبا، أما الأصول المادية فتوسم بملصقات فريدة قابلة للقراءة آليا مثل الباركود أو رمز الاستجابة السريعة بما يدعم المسح والتتبع، وتراجع الجهة أسبوعيا على الأقل مخرجات أدوات اكتشاف الشبكة أو ما شابهها لتحديد الأجهزة غير المصرح بها ثم تزيلها أو تحجبها أو تعتمدها رسميا.","yes","ID.AM-01 ID.AM-02","1.1 1.2","A.5.9 A.5.10 A.7.9","1","high"
"ID-2","ID","Software & Provider Inventory","حصر البرمجيات ومزودي الخدمة","Maintain a list of authorized software (including version families) and service providers (including cloud and SaaS). At least monthly, review systems for unauthorized software and either remove it or record a documented exception. The list register SHOULD include owner, contact details, service description, criticality, and data sensitivity (which classifications are processed). Review provider information at least annually.","تحفظ الجهة قائمة بالبرمجيات المصرح بها بما في ذلك عائلات الإصدارات، وقائمة بمزودي الخدمة بما في ذلك الخدمات السحابية والبرمجيات كخدمة، وتراجع الأنظمة شهريا على الأقل بحثا عن برمجيات غير مصرح بها فتزيلها أو تسجل لها استثناء موثقا، وينبغي أن يتضمن السجل المالك وبيانات الاتصال ووصف الخدمة ودرجة الحرجية وحساسية البيانات أي التصنيفات التي تعالج، وتراجع معلومات المزودين سنويا على الأقل.","yes","ID.AM-02 GV.SC-04","2.1 2.3 15.1","A.5.9 A.8.19","1","medium"
"ID-3","ID","Data & Account Inventory","حصر البيانات والحسابات","Maintain an inventory of critical and sensitive data sets, including classification, location, and business owner. Maintain an inventory of user and service accounts including privileges and last activity. Review accounts at least quarterly. Disable or remove dormant interactive user accounts that have not been used for 90 days, where the technology supports it. Review service accounts at least quarterly to validate continued business need. Ensure high-risk or privileged accounts are clearly identified.","تحفظ الجهة حصرا لمجموعات البيانات الحرجة والحساسة يتضمن التصنيف والموقع والمالك من جهة الأعمال، وحصرا لحسابات المستخدمين وحسابات الخدمة يتضمن الصلاحيات وآخر نشاط، وتراجع الحسابات ربع سنويا على الأقل، وتعطل أو تزيل حسابات المستخدمين التفاعلية الخاملة التي لم تستخدم تسعين يوما متى كانت التقنية تدعم ذلك، وتراجع حسابات الخدمة ربع سنويا على الأقل للتحقق من استمرار الحاجة إليها، وتضمن تحديد الحسابات عالية الخطورة أو ذات الصلاحيات تحديدا واضحا.","yes","ID.AM-07 PR.AA-01 PR.AA-05","3.1 5.1 5.3","A.5.9 A.5.16 A.5.18","1","medium"
"PR-1","PR","Secure Configuration, Hardening & Network Segmentation","التهيئة الآمنة والتحصين وتجزئة الشبكة","Establish hardened configuration baselines for servers, workstations, network devices, and key applications. From this baseline, disable or remove services, features and ports that are not needed for the system’s role. Change or disable default accounts and default passwords. Enable a host-based firewall on endpoints and servers and allow only the network traffic required for normal operation. Review configurations at least annually and after major changes.","تضع الجهة إعدادات مرجعية محصنة للخوادم ومحطات العمل وأجهزة الشبكة والتطبيقات الرئيسية، وتعطل أو تزيل انطلاقا من هذه الإعدادات الخدمات والخصائص والمنافذ غير اللازمة لدور النظام، وتغير أو تعطل الحسابات وكلمات المرور الافتراضية، وتفعل جدار حماية على مستوى المضيف في الأجهزة الطرفية والخوادم لا يسمح إلا بحركة البيانات اللازمة للتشغيل الطبيعي، وتراجع الإعدادات سنويا على الأقل وبعد التغييرات الجوهرية.","yes","PR.PS-01 PR.IR-01","4.1 4.2 4.4 4.5 4.6 4.7 4.8","A.8.9","2","high"
